iso-3,year,n_cellphones,population
GEO,1966,0.0,3966700.0
GHA,1966,0.0,8019658.0
GIB,1966,0.0,24477.0
GIN,1966,0.0,3916780.0
GMB,1966,0.0,471753.0
GNB,1966,0.0,570375.0
GNQ,1966,0.0,301517.0
GRC,1966,0.0,8613651.0
GRD,1966,0.0,98692.0
GRL,1966,0.0,40500.0
GTM,1966,0.0,4910790.0
GUM,1966,0.0,81879.0
GUY,1966,0.0,663241.0
HKG,1966,0.0,3629900.0
HND,1966,0.0,2474523.0
HRV,1966,0.0,4310701.0
HTI,1966,0.0,4352949.0
HUN,1966,0.0,10178653.0
IDN,1966,0.0,103561105.0
IND,1966,0.0,510992617.0
IRL,1966,0.0,2888800.0
IRN,1966,0.0,25398700.0
IRQ,1966,0.0,8553883.0
ISL,1966,0.0,195570.0
ISR,1966,0.0,2629000.0
ITA,1966,0.0,52519000.0
JAM,1966,0.0,1768803.0
JOR,1966,0.0,1172770.0
JPN,1966,0.0,98851000.0
KAZ,1966,0.0,11197568.0
KEN,1966,0.0,9802605.0
KGZ,1966,0.0,2655300.0
KHM,1966,0.0,6299230.0
KIR,1966,0.0,54428.0
KNA,1966,0.0,50683.0
KOR,1966,0.0,29435571.0
KWT,1966,0.0,565463.0
LAO,1966,0.0,2434861.0
LBN,1966,0.0,2145646.0
LBR,1966,0.0,1320315.0
LBY,1966,0.0,1739831.0
LCA,1966,0.0,98126.0
LIE,1966,0.0,18957.0
LKA,1966,0.0,11299721.0
LSO,1966,0.0,887841.0
LTU,1966,0.0,3008050.0
LUX,1966,0.0,333895.0
LVA,1966,0.0,2283217.0
MAC,1966,0.0,217232.0
MAR,1966,0.0,13738502.0
MCO,1966,0.0,23198.0
MDA,1966,0.0,2336782.0
MDG,1966,0.0,5936461.0
MDV,1966,0.0,108713.0
MEX,1966,0.0,44180437.0
MHL,1966,0.0,18794.0
MKD,1966,0.0,1567707.0
MLI,1966,0.0,5806572.0
MLT,1966,0.0,315200.0
MMR,1966,0.0,24854704.0
MNE,1966,0.0,526419.0
MNG,1966,0.0,1165746.0
MNP,1966,0.0,10577.0
MOZ,1966,0.0,7689643.0
MRT,1966,0.0,994697.0
MUS,1966,0.0,768813.0
MWI,1966,0.0,4190764.0
MYS,1966,0.0,9340240.0
NAM,1966,0.0,674818.0
NCL,1966,0.0,93500.0
NER,1966,0.0,4172501.0
NGA,1966,0.0,51020296.0
NIC,1966,0.0,2150003.0
NLD,1966,0.0,12456251.0
NOR,1966,0.0,3753012.0
NPL,1966,0.0,11470199.0
NRU,1966,0.0,6021.0
NZL,1966,0.0,2675900.0
OMN,1966,0.0,607538.0
PAK,1966,0.0,53199414.0
PAN,1966,0.0,1350462.0
PER,1966,0.0,12127990.0
PHL,1966,0.0,33704749.0
PLW,1966,0.0,10813.0
PNG,1966,0.0,2271490.0
POL,1966,0.0,31681000.0
PRI,1966,0.0,2624995.0
PRK,1966,0.0,13444048.0
PRT,1966,0.0,8930990.0
PRY,1966,0.0,2195955.0
PSE,1966,0.0,2195955.0
PYF,1966,0.0,102281.0
QAT,1966,0.0,73102.0
ROU,1966,0.0,19215450.0
RUS,1966,0.0,127468000.0
RWA,1966,0.0,3444021.0
SAU,1966,0.0,5173237.0
SDN,1966,0.0,10014505.0
SEN,1966,0.0,3881994.0
SGP,1966,0.0,1934400.0
SLB,1966,0.0,155514.0
SLE,1966,0.0,2569736.0
SLV,1966,0.0,3266436.0
SMR,1966,0.0,17588.0
SOM,1966,0.0,3353665.0
SRB,1966,0.0,6841000.0
SSD,1966,0.0,3185305.0
STP,1966,0.0,72567.0
SUR,1966,0.0,332142.0
SVK,1966,0.0,4411666.0
SVN,1966,0.0,1669905.0
SWE,1966,0.0,7807797.0
SWZ,1966,0.0,398861.0
SXM,1966,0.0,4531.0
SYC,1966,0.0,48699.0
SYR,1966,0.0,5542003.0
TCA,1966,0.0,5652.0
TCD,1966,0.0,3398664.0
TGO,1966,0.0,1882458.0
THA,1966,0.0,31883754.0
TJK,1966,0.0,2625653.0
TKM,1966,0.0,1957557.0
TLS,1966,0.0,516197.0
TON,1966,0.0,79794.0
TTO,1966,0.0,942599.0
TUN,1966,0.0,4548972.0
TUR,1966,0.0,32172785.0
TUV,1966,0.0,5591.0
TZA,1966,0.0,11981932.0
UGA,1966,0.0,9104743.0
UKR,1966,0.0,45809120.0
URY,1966,0.0,2707030.0
USA,1966,0.0,196560000.0
UZB,1966,0.0,10504969.0
VCT,1966,0.0,92957.0
VEN,1966,0.0,10010685.0
VGB,1966,0.0,8139.0
VIR,1966,0.0,46200.0
VNM,1966,0.0,38388210.0
VUT,1966,0.0,76945.0
WSM,1966,0.0,132976.0
XKX,1966,0.0,1106000.0
YEM,1966,0.0,6228430.0
ZAF,1966,0.0,19789771.0
ZMB,1966,0.0,3777680.0
ZWE,1966,0.0,4588529.0
ABW,1967,0.0,59522.0
AFG,1967,0.0,10010030.0
AGO,1967,0.0,5827503.0
ALB,1967,0.0,1965598.0
AND,1967,0.0,15745.0
ARE,1967,0.0,191404.0
ARG,1967,0.0,22757014.0
ARM,1967,0.0,2355997.0
ASM,1967,0.0,24848.0
ATG,1967,0.0,61617.0
AUS,1967,0.0,11799000.0
AUT,1967,0.0,7376998.0
AZE,1967,0.0,4832000.0
BDI,1967,0.0,3274493.0
BEL,1967,0.0,9580991.0
BEN,1967,0.0,2843739.0
BFA,1967,0.0,5330613.0
BGD,1967,0.0,62104488.0
BGR,1967,0.0,8310226.0
BHR,1967,0.0,204916.0
BHS,1967,0.0,158197.0
BIH,1967,0.0,3673367.0
BLR,1967,0.0,8785648.0
BLZ,1967,0.0,111411.0
BMU,1967,0.0,52000.0
BOL,1967,0.0,4295269.0
BRA,1967,0.0,89323288.0
BRB,1967,0.0,239238.0
BRN,1967,0.0,117628.0
BTN,1967,0.0,271339.0
BWA,1967,0.0,578723.0
CAF,1967,0.0,1930861.0
CAN,1967,0.0,20412000.0
CHE,1967,0.0,5991785.0
CHL,1967,0.0,9326268.0
CHN,1967,0.0,754550000.0
CIV,1967,0.0,4856689.0
CMR,1967,0.0,5975087.0
COD,1967,0.0,18472105.0
COG,1967,0.0,1278312.0
COL,1967,0.0,19343961.0
COM,1967,0.0,224321.0
CPV,1967,0.0,260648.0
CRI,1967,0.0,1706062.0
CUB,1967,0.0,8390962.0
CUW,1967,0.0,138140.0
CYM,1967,0.0,9771.0
CYP,1967,0.0,627695.0
CZE,1967,0.0,9852899.0
DEU,1967,0.0,76951336.0
DJI,1967,0.0,121168.0
DMA,1967,0.0,65760.0
DNK,1967,0.0,4835354.0
DOM,1967,0.0,4108916.0
DZA,1967,0.0,12897115.0
ECU,1967,0.0,5658446.0
EGY,1967,0.0,32408414.0
ERI,1967,0.0,1179554.0
ESP,1967,0.0,32682947.0
EST,1967,0.0,1318946.0
ETH,1967,0.0,26051596.0
FIN,1967,0.0,4605744.0
FJI,1967,0.0,494632.0
FRA,1967,0.0,50334012.0
FRO,1967,0.0,37234.0
FSM,1967,0.0,53940.0
GAB,1967,0.0,564436.0
GBR,1967,0.0,54943600.0
GEO,1967,0.0,4005800.0
GHA,1967,0.0,8216086.0
GIB,1967,0.0,25047.0
GIN,1967,0.0,3990760.0
GMB,1967,0.0,485132.0
GNB,1967,0.0,573380.0
GNQ,1967,0.0,308374.0
GRC,1967,0.0,8684088.0
GRD,1967,0.0,98977.0
GRL,1967,0.0,41900.0
GTM,1967,0.0,5047435.0
GUM,1967,0.0,83480.0
GUY,1967,0.0,675064.0
HKG,1967,0.0,3722800.0
HND,1967,0.0,2547497.0
HRV,1967,0.0,4338683.0
HTI,1967,0.0,4432716.0
HUN,1967,0.0,10216604.0
IDN,1967,0.0,106260749.0
IND,1967,0.0,521987069.0
IRL,1967,0.0,2902450.0
IRN,1967,0.0,26133341.0
IRQ,1967,0.0,8848502.0
ISL,1967,0.0,198751.0
ISR,1967,0.0,2745000.0
ITA,1967,0.0,52900500.0
JAM,1967,0.0,1790580.0
JOR,1967,0.0,1265680.0
JPN,1967,0.0,99879000.0
KAZ,1967,0.0,11491228.0
KEN,1967,0.0,10201068.0
KGZ,1967,0.0,2736500.0
KHM,1967,0.0,6426445.0
KIR,1967,0.0,54990.0
KNA,1967,0.0,49269.0
KOR,1967,0.0,30130983.0
KWT,1967,0.0,621242.0
LAO,1967,0.0,2491927.0
LBN,1967,0.0,2203202.0
LBR,1967,0.0,1354287.0
LBY,1967,0.0,1778578.0
LCA,1967,0.0,99257.0
LIE,1967,0.0,19467.0
LKA,1967,0.0,11571008.0
LSO,1967,0.0,918923.0
LTU,1967,0.0,3044400.0
LUX,1967,0.0,334995.0
LVA,1967,0.0,2301220.0
MAC,1967,0.0,225151.0
MAR,1967,0.0,14109755.0
MCO,1967,0.0,23281.0
MDA,1967,0.0,2369729.0
MDG,1967,0.0,6099529.0
MDV,1967,0.0,112547.0
MEX,1967,0.0,45656963.0
MHL,1967,0.0,19665.0
MKD,1967,0.0,1588649.0
MLI,1967,0.0,5888497.0
MLT,1967,0.0,311550.0
MMR,1967,0.0,25440029.0
MNE,1967,0.0,522796.0
MNG,1967,0.0,1198197.0
MNP,1967,0.0,10720.0
MOZ,1967,0.0,7859471.0
MRT,1967,0.0,1024992.0
MUS,1967,0.0,783917.0
MWI,1967,0.0,4295762.0
MYS,1967,0.0,9582086.0
NAM,1967,0.0,693063.0
NCL,1967,0.0,96500.0
NER,1967,0.0,4294283.0
NGA,1967,0.0,52106681.0
NIC,1967,0.0,2219001.0
NLD,1967,0.0,12598201.0
NOR,1967,0.0,3784539.0
NPL,1967,0.0,11715579.0
